target_date,predicted_price,actual_price,prediction_date
2025-12-30,0.12235711,0.5048838541666667,2025-12-29
2025-12-31,0.0988657474517822,0.8352080208333333,2025-12-30
2026-01-01,0.1272239685058593,0.13538697916666667,2025-12-31
2026-01-02,0.1117877215147018,0.5151486458333333,2026-01-01
2026-01-03,0.1189497783780098,0.8272319791666667,2026-01-02
2026-01-04,0.1526314616203308,1.0099459375,2026-01-03
2026-01-05,0.1451825946569442,1.5176512500000001,2026-01-04
2026-01-06,0.1395874172449112,1.3484591666666665,2026-01-05
2026-01-07,0.1020790860056877,0.9576484782608696,2026-01-06
2026-01-08,0.1023105308413505,0.7916124999999999,2026-01-07
2026-01-09,,0.8346184375,2026-01-08
2026-01-10,0.7088372522619243,1.0102666666666666,2026-01-09
